--- Running testcase sched_jitter  ---
Thu May 16 11:41:51 CEST 2019
Logging to /home/iocuser/projects/e3-tools/rt_conf/ltp/testcases/realtime/logs/mcag-epics9-x86_64-3.10.0-957.12.1.rt56.927.el7.x86_64-2019-05-16-sched_jitter.log
delta: 40831103 ns
delta: 40797582 ns
delta: 40845134 ns
delta: 40847285 ns
delta: 40839713 ns
delta: 40835512 ns
delta: 40834478 ns
delta: 40774265 ns
delta: 40819340 ns
delta: 40837344 ns
delta: 40843573 ns
delta: 40846986 ns
delta: 40849456 ns
delta: 40795812 ns
delta: 40847536 ns
delta: 40848131 ns
delta: 40848441 ns
delta: 40810632 ns
delta: 40842258 ns
delta: 40806249 ns
delta: 40839968 ns
delta: 40820172 ns
delta: 40839870 ns
delta: 40834345 ns
delta: 40838654 ns
delta: 40789758 ns
delta: 40846384 ns
delta: 40844263 ns
delta: 40824803 ns
delta: 40825024 ns
delta: 40802746 ns
delta: 40815823 ns
delta: 40835958 ns
delta: 40844098 ns
delta: 40849525 ns
delta: 40820175 ns
delta: 40821856 ns
delta: 40803569 ns
delta: 40836530 ns
delta: 40850939 ns
delta: 40830205 ns
delta: 40821033 ns
delta: 40818474 ns
delta: 40796058 ns
delta: 40842843 ns
delta: 40836917 ns
delta: 40825841 ns
delta: 40826805 ns
delta: 40793671 ns
delta: 40789502 ns
delta: 40826885 ns
delta: 40835666 ns
delta: 40842248 ns
delta: 40861186 ns
delta: 40770014 ns
delta: 40820121 ns
delta: 40804582 ns
delta: 40808061 ns
delta: 40803746 ns
delta: 40779151 ns
delta: 40804361 ns
delta: 40816477 ns
delta: 40812507 ns
delta: 40838012 ns
delta: 40845634 ns
delta: 40777611 ns
delta: 40841659 ns
delta: 40844499 ns
delta: 40840399 ns
delta: 40855407 ns
delta: 40841000 ns
delta: 40786854 ns
delta: 40850861 ns
delta: 40832671 ns
delta: 40841075 ns
delta: 40841738 ns
delta: 40830864 ns
delta: 40797834 ns
delta: 40837197 ns
delta: 40832967 ns
delta: 40835193 ns
delta: 40850445 ns
delta: 40845950 ns
delta: 40822131 ns
delta: 40819070 ns
delta: 40829847 ns
delta: 40846805 ns
delta: 40844826 ns
delta: 40844409 ns
delta: 40823655 ns
delta: 40812383 ns
delta: 40829941 ns
delta: 40837386 ns
delta: 40843329 ns
delta: 40843802 ns
delta: 40832338 ns
delta: 40784092 ns
delta: 40854079 ns
delta: 40841188 ns
delta: 40846455 ns
delta: 40836162 ns
delta: 40804085 ns
delta: 40800329 ns
delta: 40832831 ns
delta: 40831093 ns
delta: 40838573 ns
delta: 40843851 ns
delta: 40820769 ns
delta: 40782917 ns
delta: 40835993 ns
delta: 40837390 ns
delta: 40834213 ns
delta: 40840928 ns
delta: 40836045 ns
delta: 40786554 ns
delta: 40836034 ns
delta: 40841848 ns
delta: 40836766 ns
delta: 40833415 ns
delta: 40826254 ns
delta: 40822866 ns
delta: 40829868 ns
delta: 40843595 ns
delta: 40838115 ns
delta: 40837563 ns
delta: 40813427 ns
delta: 40801329 ns
delta: 40837156 ns
delta: 40834529 ns
delta: 40835371 ns
delta: 40823965 ns
delta: 40816492 ns
delta: 40807393 ns
delta: 40845109 ns
delta: 40834205 ns
delta: 40841173 ns
delta: 40844307 ns
delta: 40820240 ns
delta: 40813204 ns
delta: 40841893 ns
delta: 40848417 ns
delta: 40841975 ns
delta: 40852037 ns
delta: 40841937 ns
delta: 40791683 ns
delta: 40843486 ns
delta: 40857010 ns
delta: 40832577 ns
delta: 40851949 ns
delta: 40831281 ns
delta: 40792196 ns
delta: 40845520 ns
delta: 40828327 ns
delta: 40820022 ns
delta: 40806668 ns
delta: 40982935 ns
delta: 40791003 ns
delta: 40800424 ns
delta: 40853571 ns
delta: 40839771 ns
delta: 40847113 ns
delta: 40830042 ns
delta: 40775053 ns
delta: 40837251 ns
delta: 40857198 ns
delta: 40840750 ns
delta: 40829401 ns
delta: 41104279 ns
delta: 40849958 ns
delta: 40828479 ns
delta: 40787685 ns
delta: 40835264 ns
delta: 40845070 ns
delta: 40854164 ns
delta: 40836053 ns
delta: 40833371 ns
delta: 40782731 ns
delta: 40824123 ns
delta: 40824422 ns
delta: 40839619 ns
delta: 40842121 ns
delta: 40831162 ns
delta: 40773883 ns
delta: 40836686 ns
delta: 40844290 ns
delta: 40845032 ns
delta: 40852301 ns
delta: 40831159 ns
delta: 40795953 ns
delta: 40816139 ns
delta: 40826601 ns
delta: 40846910 ns
delta: 40920815 ns
delta: 40856324 ns
delta: 40823574 ns
delta: 40782724 ns
delta: 40844019 ns
delta: 40845900 ns
delta: 40856852 ns
delta: 40846119 ns
delta: 40839821 ns
delta: 40808423 ns
delta: 40827704 ns
delta: 40851744 ns
delta: 40839175 ns
delta: 40837639 ns
delta: 40845558 ns
delta: 40787218 ns
delta: 40831938 ns
delta: 40825251 ns
delta: 40841515 ns
delta: 40841202 ns
delta: 40856282 ns
delta: 40794257 ns
delta: 40861097 ns
delta: 40839059 ns
delta: 40809090 ns
delta: 40855065 ns
delta: 40845240 ns
delta: 40798228 ns
delta: 40848772 ns
delta: 40835999 ns
delta: 40843466 ns
delta: 40841104 ns
delta: 40840868 ns
delta: 40789803 ns
delta: 40844297 ns
delta: 40858122 ns
delta: 40856177 ns
delta: 40850339 ns
delta: 40850367 ns
delta: 40851370 ns
delta: 40766636 ns
delta: 40838550 ns
delta: 40814753 ns
delta: 40813264 ns
delta: 40829989 ns
delta: 40786671 ns
delta: 40846481 ns
delta: 40840658 ns
delta: 40834246 ns
delta: 40823653 ns
delta: 40835148 ns
delta: 40808982 ns
delta: 40849186 ns
delta: 40851100 ns
delta: 40851955 ns
delta: 40830601 ns
delta: 40838982 ns
delta: 40875319 ns
delta: 40786514 ns
delta: 40861156 ns
delta: 40837821 ns
delta: 40840417 ns
delta: 40827098 ns
delta: 40845667 ns
delta: 40776288 ns
delta: 40840963 ns
delta: 40844779 ns
delta: 40837608 ns
delta: 40842422 ns
delta: 40831371 ns
delta: 40787913 ns
delta: 40845293 ns
delta: 40830578 ns
delta: 40839527 ns
delta: 40850698 ns
delta: 40840635 ns
delta: 40796303 ns
delta: 40850319 ns
delta: 40839554 ns
delta: 40830758 ns
delta: 40839411 ns
delta: 40831063 ns
delta: 40788668 ns
delta: 40838485 ns
delta: 40845301 ns
delta: 40838930 ns
delta: 40854428 ns
delta: 40831981 ns
delta: 40771994 ns
delta: 40817983 ns
delta: 40818549 ns
delta: 40834062 ns
delta: 40825150 ns
delta: 40848810 ns
delta: 40793457 ns
delta: 40841725 ns
delta: 40837050 ns
delta: 40819092 ns
delta: 40820818 ns
delta: 40833144 ns
delta: 40802014 ns
delta: 40823957 ns
delta: 40851378 ns
delta: 40844448 ns
delta: 40841082 ns
delta: 40816092 ns
delta: 40804893 ns
delta: 40839974 ns
delta: 40846878 ns
delta: 40850016 ns
delta: 40829009 ns
delta: 40848482 ns
delta: 40787325 ns
delta: 40839465 ns
delta: 40843160 ns
delta: 40848748 ns
delta: 40844104 ns
delta: 40853762 ns
delta: 40790216 ns
delta: 40845636 ns
delta: 40832903 ns
delta: 40843430 ns
delta: 40835855 ns
delta: 40849525 ns
delta: 40809727 ns
delta: 40832757 ns
delta: 40827785 ns
delta: 40859252 ns
delta: 40857727 ns
delta: 40846478 ns
delta: 40789332 ns
delta: 40832780 ns
delta: 40839237 ns
delta: 40844179 ns
delta: 40860612 ns
delta: 40851037 ns
delta: 40818604 ns
delta: 40815701 ns
delta: 40835356 ns
delta: 40842677 ns
delta: 40842822 ns
delta: 40846875 ns
delta: 40839503 ns
delta: 40795048 ns
delta: 40831121 ns
delta: 40840765 ns
delta: 40849516 ns
delta: 40884449 ns
delta: 40831344 ns
delta: 40802065 ns
delta: 40848815 ns
delta: 40852944 ns
delta: 40847278 ns
delta: 40843113 ns
delta: 40835365 ns
delta: 40831491 ns
delta: 40804436 ns
delta: 40846662 ns
delta: 40826173 ns
delta: 40836695 ns
delta: 40881748 ns
delta: 40811025 ns
delta: 40799695 ns
delta: 40850427 ns
delta: 40823288 ns
delta: 40817309 ns
delta: 40841077 ns
delta: 40811176 ns
delta: 40812024 ns
delta: 40833768 ns
delta: 40837126 ns
delta: 40833205 ns
delta: 40817463 ns
delta: 40776208 ns
delta: 40836446 ns
delta: 40851231 ns
delta: 40835190 ns
delta: 40842813 ns
delta: 40827037 ns
delta: 40983825 ns
delta: 40796524 ns
delta: 40820480 ns
delta: 40809845 ns
delta: 40831393 ns
delta: 40840010 ns
delta: 40831138 ns
delta: 40800197 ns
delta: 40830064 ns
delta: 40806370 ns
delta: 40841067 ns
delta: 40843998 ns
delta: 40830625 ns
delta: 40794987 ns
delta: 40831327 ns
delta: 40840039 ns
delta: 40839101 ns
delta: 40844605 ns
delta: 40825291 ns
delta: 40765668 ns
delta: 40842897 ns
delta: 40857759 ns
delta: 40830370 ns
delta: 40851317 ns
delta: 40840250 ns
delta: 40799203 ns
delta: 40830816 ns
delta: 40841150 ns
delta: 40851371 ns
delta: 40854814 ns
delta: 40801178 ns
delta: 40763288 ns
delta: 40837691 ns
delta: 40842214 ns
delta: 40840703 ns
delta: 40831571 ns
delta: 40813222 ns
delta: 40815941 ns
delta: 40836450 ns
delta: 40840311 ns
delta: 40837942 ns
delta: 41117608 ns
delta: 40848752 ns
delta: 40848234 ns
delta: 40835407 ns
delta: 40801444 ns
delta: 40838091 ns
delta: 40829142 ns
delta: 40830090 ns
delta: 40831447 ns
delta: 40812773 ns
delta: 40814752 ns
delta: 40827772 ns
delta: 40842291 ns
delta: 40795776 ns
delta: 40836359 ns
delta: 40793715 ns
delta: 40832253 ns
delta: 40837658 ns
delta: 40830960 ns
delta: 40840639 ns
delta: 40844777 ns
delta: 40791789 ns
delta: 40815499 ns
delta: 40841664 ns
delta: 40825865 ns
delta: 40830899 ns
delta: 40833172 ns
delta: 40784301 ns
delta: 40828556 ns
delta: 40826212 ns
delta: 40823987 ns
delta: 40857653 ns
delta: 40855592 ns
delta: 40845892 ns
delta: 40868975 ns
delta: 40862119 ns
delta: 40876838 ns
delta: 40849738 ns
delta: 40856287 ns
delta: 40858801 ns
delta: 40806962 ns
delta: 40843881 ns
delta: 40836987 ns
delta: 40832205 ns
delta: 40829241 ns
delta: 40841874 ns
delta: 40781551 ns
delta: 40832978 ns
delta: 40833520 ns
delta: 40839079 ns
delta: 40838465 ns
delta: 40832556 ns
delta: 40787741 ns
delta: 40829414 ns
delta: 40820563 ns
delta: 40819112 ns
delta: 40820488 ns
delta: 40833031 ns
delta: 40788888 ns
delta: 40833433 ns
delta: 40836384 ns
delta: 40841119 ns
delta: 40841796 ns
delta: 40835169 ns
delta: 40789169 ns
delta: 40832054 ns
delta: 40831029 ns
delta: 40840097 ns
delta: 40837871 ns
delta: 40841516 ns
delta: 40782474 ns
delta: 40836373 ns
delta: 40834801 ns
delta: 40842633 ns
delta: 40848342 ns
delta: 40844352 ns
delta: 40801066 ns
delta: 40833106 ns
delta: 40839522 ns
delta: 40832991 ns
delta: 40839339 ns
delta: 40852535 ns
delta: 40779097 ns
delta: 40838715 ns
delta: 40838964 ns
delta: 40832590 ns
delta: 40842815 ns
delta: 40840217 ns
delta: 40784724 ns
delta: 40847246 ns
delta: 40830132 ns
delta: 40839631 ns
delta: 40819944 ns
delta: 40806954 ns
delta: 40814715 ns
delta: 40839490 ns
max jitter: 462.769989 us

Thu May 16 11:42:32 CEST 2019
The sched_jitter test appears to have completed.
