--- Running testcase sched_jitter  ---
Mon Jun 10 13:56:00 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/icslab-mtca-daq02-x86_64-3.10.0-957.12.2.rt56.929.el7.x86_64-2019-06-10-sched_jitter.log
delta: 106417510 ns
delta: 106627690 ns
delta: 106489987 ns
delta: 105965174 ns
delta: 106294898 ns
delta: 106429556 ns
delta: 106355541 ns
delta: 106132484 ns
delta: 105898516 ns
delta: 106528968 ns
delta: 106221999 ns
delta: 106225694 ns
delta: 106074971 ns
delta: 106309342 ns
delta: 106532556 ns
delta: 106019911 ns
delta: 106477736 ns
delta: 106508711 ns
delta: 106481631 ns
delta: 106083627 ns
delta: 106564931 ns
delta: 107113148 ns
delta: 107041808 ns
delta: 106740286 ns
delta: 106572619 ns
delta: 107001208 ns
delta: 106963356 ns
delta: 107201663 ns
delta: 106578690 ns
delta: 106945020 ns
delta: 107131170 ns
delta: 107006606 ns
delta: 106766269 ns
delta: 106776623 ns
delta: 107121897 ns
delta: 106742492 ns
delta: 105989460 ns
delta: 106339127 ns
delta: 106511165 ns
delta: 106436708 ns
delta: 105898180 ns
delta: 106267068 ns
delta: 106269914 ns
delta: 106381844 ns
delta: 105736213 ns
delta: 106107571 ns
delta: 106601515 ns
delta: 106624456 ns
delta: 105933918 ns
delta: 106125143 ns
delta: 106447535 ns
delta: 106362596 ns
delta: 106263250 ns
delta: 106441758 ns
delta: 106538150 ns
delta: 106435743 ns
delta: 106423273 ns
delta: 106131790 ns
delta: 106482230 ns
delta: 106239938 ns
delta: 106402343 ns
delta: 106147774 ns
delta: 106077216 ns
delta: 106386674 ns
delta: 106134167 ns
delta: 106164930 ns
delta: 106207786 ns
delta: 106505183 ns
delta: 106769544 ns
delta: 106342899 ns
delta: 106366701 ns
delta: 106547709 ns
delta: 107008216 ns
delta: 106475446 ns
delta: 106083357 ns
delta: 106312375 ns
delta: 106399336 ns
delta: 106348005 ns
delta: 106331038 ns
delta: 106561126 ns
delta: 106516883 ns
delta: 106195286 ns
delta: 106222485 ns
delta: 106300173 ns
delta: 106623036 ns
delta: 106641559 ns
delta: 106335192 ns
delta: 108239693 ns
delta: 108456618 ns
delta: 108448847 ns
delta: 108350758 ns
delta: 108740703 ns
delta: 108328494 ns
delta: 108357096 ns
delta: 108215560 ns
delta: 108202695 ns
delta: 108283678 ns
delta: 108104884 ns
delta: 106342176 ns
delta: 106359573 ns
delta: 106547134 ns
delta: 106222466 ns
delta: 105961342 ns
delta: 106246880 ns
delta: 106779975 ns
delta: 106728318 ns
delta: 106418803 ns
delta: 106061184 ns
delta: 106716799 ns
delta: 107993536 ns
delta: 109125544 ns
delta: 107180541 ns
delta: 108518775 ns
delta: 107950854 ns
delta: 106780994 ns
delta: 106243657 ns
delta: 107544089 ns
delta: 108374155 ns
delta: 107004918 ns
delta: 106079693 ns
delta: 106161558 ns
delta: 106473389 ns
delta: 106525953 ns
delta: 106143365 ns
delta: 106567248 ns
delta: 106449672 ns
delta: 106181639 ns
delta: 106296103 ns
delta: 106817268 ns
delta: 106615802 ns
delta: 106596451 ns
delta: 106427690 ns
delta: 106411467 ns
delta: 106681686 ns
delta: 106628021 ns
delta: 106289960 ns
delta: 106493096 ns
delta: 106437545 ns
delta: 106418722 ns
delta: 106416016 ns
delta: 108332590 ns
delta: 107817190 ns
delta: 106669652 ns
delta: 106326659 ns
delta: 106596837 ns
delta: 107306095 ns
delta: 107198386 ns
delta: 107690415 ns
delta: 106626442 ns
delta: 106862720 ns
delta: 106994651 ns
delta: 106969263 ns
delta: 106796602 ns
delta: 106977702 ns
delta: 107151029 ns
delta: 107074596 ns
delta: 106803875 ns
delta: 106904076 ns
delta: 106935800 ns
delta: 106967162 ns
delta: 106740046 ns
delta: 106659062 ns
delta: 107148295 ns
delta: 106908716 ns
delta: 106922336 ns
delta: 106883326 ns
delta: 107393209 ns
delta: 107017208 ns
delta: 106523656 ns
delta: 106780857 ns
delta: 106916984 ns
delta: 107285194 ns
delta: 106940469 ns
delta: 106560579 ns
delta: 106759480 ns
delta: 106896500 ns
delta: 106811341 ns
delta: 105775402 ns
delta: 106330286 ns
delta: 106518982 ns
delta: 106492947 ns
delta: 106100603 ns
delta: 106673454 ns
delta: 106792791 ns
delta: 106757963 ns
delta: 106694626 ns
delta: 106786853 ns
delta: 107132216 ns
delta: 106909708 ns
delta: 106362016 ns
delta: 107032965 ns
delta: 106808937 ns
delta: 106730494 ns
delta: 106462023 ns
delta: 106690006 ns
delta: 107109095 ns
delta: 107152910 ns
delta: 106455824 ns
delta: 106647300 ns
delta: 107117377 ns
delta: 107052649 ns
delta: 106707265 ns
delta: 106998153 ns
delta: 107432724 ns
delta: 106302988 ns
delta: 106297483 ns
delta: 106138550 ns
delta: 106155555 ns
delta: 106483584 ns
delta: 106251514 ns
delta: 105893837 ns
delta: 106563563 ns
delta: 106508467 ns
delta: 106300589 ns
delta: 106509980 ns
delta: 106598067 ns
delta: 106603993 ns
delta: 107096452 ns
delta: 106838198 ns
delta: 106718321 ns
delta: 107025327 ns
delta: 107031086 ns
delta: 107394149 ns
delta: 107042035 ns
delta: 107389418 ns
delta: 107206252 ns
delta: 106833093 ns
delta: 106643025 ns
delta: 107224200 ns
delta: 106941622 ns
delta: 106694656 ns
delta: 106854017 ns
delta: 107302569 ns
delta: 106896088 ns
delta: 107058699 ns
delta: 106715405 ns
delta: 107019753 ns
delta: 107219811 ns
delta: 106757335 ns
delta: 106922758 ns
delta: 107124821 ns
delta: 106868753 ns
delta: 107768772 ns
delta: 107289963 ns
delta: 107065323 ns
delta: 107001916 ns
delta: 107064587 ns
delta: 106909609 ns
delta: 106972302 ns
delta: 107021307 ns
delta: 106904831 ns
delta: 107394357 ns
delta: 107717666 ns
delta: 107743353 ns
delta: 106647544 ns
delta: 106023820 ns
delta: 106251427 ns
delta: 106327551 ns
delta: 106490134 ns
delta: 106421992 ns
delta: 106357630 ns
delta: 107329859 ns
delta: 107918922 ns
delta: 107093037 ns
delta: 106663372 ns
max jitter: 77.839859 ms

Mon Jun 10 13:57:47 CEST 2019
The sched_jitter test appears to have completed.
