--- Running testcase sched_jitter  ---
Thu May 16 11:32:53 CEST 2019
Logging to /home/iocuser/ics_gitsrc/e3-tools/rt_conf/ltp/testcases/realtime/logs/ip7-21-x86_64-4.9.0-9-rt-amd64-2019-05-16-sched_jitter.log
delta: 220589064 ns
delta: 219276550 ns
delta: 221056536 ns
delta: 220271194 ns
delta: 220451733 ns
delta: 220718273 ns
delta: 220811643 ns
delta: 220254092 ns
delta: 220992806 ns
delta: 221247787 ns
delta: 220640915 ns
delta: 221386351 ns
delta: 220305488 ns
delta: 220732476 ns
delta: 220720172 ns
delta: 220927104 ns
delta: 220781369 ns
delta: 221231900 ns
delta: 220471703 ns
delta: 221575952 ns
delta: 220642255 ns
delta: 221590102 ns
delta: 220464592 ns
delta: 221168633 ns
delta: 220318208 ns
delta: 220730265 ns
delta: 221271540 ns
delta: 221140337 ns
delta: 220750999 ns
delta: 221098258 ns
delta: 220759320 ns
delta: 221151115 ns
delta: 220701763 ns
delta: 220781358 ns
delta: 220004488 ns
delta: 220990765 ns
delta: 220535593 ns
delta: 221077748 ns
delta: 220815131 ns
delta: 220902888 ns
delta: 220035042 ns
delta: 220939625 ns
delta: 220693748 ns
delta: 221139395 ns
delta: 220726504 ns
delta: 220816590 ns
delta: 220694627 ns
delta: 221320459 ns
delta: 220933872 ns
delta: 221168463 ns
delta: 220800463 ns
delta: 220624778 ns
delta: 220832366 ns
delta: 220818133 ns
delta: 220729374 ns
delta: 221380481 ns
delta: 220697881 ns
delta: 221431387 ns
delta: 220250273 ns
delta: 221113943 ns
delta: 220794291 ns
delta: 220842903 ns
delta: 220904447 ns
delta: 221166941 ns
delta: 220495881 ns
delta: 221096727 ns
delta: 220522612 ns
delta: 221072104 ns
delta: 220407180 ns
delta: 221387358 ns
delta: 220715479 ns
delta: 220754580 ns
delta: 220837631 ns
delta: 221192733 ns
delta: 220784285 ns
delta: 221436246 ns
delta: 221143568 ns
delta: 220942688 ns
delta: 220762443 ns
delta: 221188054 ns
delta: 220654055 ns
delta: 220767356 ns
delta: 220703832 ns
delta: 220728617 ns
delta: 220726155 ns
delta: 221695678 ns
delta: 220748904 ns
delta: 221152411 ns
delta: 221017372 ns
delta: 220996331 ns
delta: 220719897 ns
delta: 220480052 ns
delta: 220300689 ns
delta: 221161132 ns
delta: 220906239 ns
delta: 220676452 ns
delta: 220746273 ns
delta: 221332618 ns
delta: 220653547 ns
delta: 219758111 ns
delta: 219946772 ns
delta: 220689171 ns
delta: 219594730 ns
delta: 221217780 ns
delta: 219681913 ns
delta: 220516910 ns
delta: 220222184 ns
delta: 221281485 ns
delta: 220678266 ns
delta: 221110145 ns
delta: 220708656 ns
delta: 221692821 ns
delta: 220995118 ns
delta: 221023233 ns
delta: 220682185 ns
delta: 221439802 ns
delta: 220647794 ns
delta: 220697418 ns
delta: 220468388 ns
delta: 221281895 ns
delta: 220230395 ns
delta: 221584788 ns
delta: 220559871 ns
delta: 221060038 ns
delta: 220819905 ns
delta: 221312080 ns
delta: 220488712 ns
delta: 221172412 ns
delta: 220787863 ns
delta: 220917550 ns
delta: 220770726 ns
delta: 221509076 ns
delta: 220824638 ns
delta: 220865669 ns
delta: 220833212 ns
delta: 221291673 ns
delta: 220726409 ns
delta: 220763694 ns
delta: 221532026 ns
delta: 220742446 ns
delta: 220856527 ns
delta: 220760282 ns
delta: 221060483 ns
delta: 220760443 ns
delta: 221066252 ns
delta: 220746197 ns
delta: 221079848 ns
delta: 220548450 ns
delta: 220528203 ns
delta: 220805569 ns
delta: 220747090 ns
delta: 220599766 ns
delta: 220749921 ns
delta: 221200839 ns
delta: 221184322 ns
delta: 220272880 ns
delta: 221314656 ns
delta: 220229217 ns
delta: 221042995 ns
delta: 220868071 ns
delta: 221626925 ns
delta: 220771232 ns
delta: 221100082 ns
delta: 220788634 ns
delta: 221569903 ns
delta: 220740922 ns
delta: 221038503 ns
delta: 220782917 ns
delta: 220534189 ns
delta: 220246215 ns
delta: 220621731 ns
delta: 220733062 ns
delta: 221070273 ns
delta: 220612946 ns
delta: 220349650 ns
delta: 220928667 ns
delta: 220142079 ns
delta: 220896606 ns
delta: 220435905 ns
delta: 220722650 ns
delta: 220719165 ns
delta: 221349126 ns
delta: 220566581 ns
delta: 221234677 ns
delta: 220816660 ns
delta: 221370138 ns
delta: 220742323 ns
delta: 219658524 ns
delta: 220821992 ns
delta: 221318276 ns
delta: 221171606 ns
delta: 220701166 ns
delta: 220914680 ns
delta: 220058181 ns
delta: 221572788 ns
delta: 220542258 ns
delta: 220850580 ns
delta: 220078941 ns
delta: 221170402 ns
delta: 219772050 ns
delta: 220406568 ns
delta: 220729709 ns
delta: 221332021 ns
delta: 220806509 ns
delta: 220635563 ns
delta: 220654015 ns
delta: 221111639 ns
delta: 220832531 ns
delta: 220741996 ns
delta: 220593165 ns
delta: 220922997 ns
delta: 220600294 ns
delta: 221463704 ns
delta: 219838190 ns
